variant,first_valid,nan_pct,mean,std,p10,p90
baseline_L6,1964-01-31,1.1%,5.322,16.2,-13.095,23.78
baseline_L9,1964-04-30,1.5%,8.635,21.156,-15.81,32.571
baseline_L12,1964-07-31,1.9%,11.953,25.321,-17.072,40.786
residual_L6_W24_MKT,1965-12-31,4.0%,-0.084,10.106,-10.921,10.847
residual_L6_W24_FF3,1965-12-31,4.0%,-0.258,8.562,-9.516,8.841
residual_L6_W36_MKT,1966-12-31,5.6%,-0.092,10.515,-11.323,11.09
residual_L6_W36_FF3,1966-12-31,5.6%,-0.22,9.107,-9.966,9.451
residual_L6_W48_MKT,1967-12-31,7.2%,-0.118,10.62,-11.418,11.224
residual_L6_W48_FF3,1967-12-31,7.2%,-0.177,9.35,-10.212,9.799
residual_L9_W24_MKT,1966-03-31,4.4%,-0.152,12.936,-13.948,13.614
residual_L9_W24_FF3,1966-03-31,4.4%,-0.414,10.892,-12.114,10.953
residual_L9_W36_MKT,1967-03-31,6.0%,-0.12,13.668,-14.504,14.15
residual_L9_W36_FF3,1967-03-31,6.0%,-0.342,11.725,-12.893,11.927
residual_L9_W48_MKT,1968-03-31,7.6%,-0.166,13.814,-14.82,14.163
residual_L9_W48_FF3,1968-03-31,7.6%,-0.261,12.068,-13.187,12.489
residual_L12_W24_MKT,1966-06-30,4.8%,-0.249,15.292,-16.201,15.653
residual_L12_W24_FF3,1966-06-30,4.8%,-0.567,12.863,-14.295,12.74
residual_L12_W36_MKT,1967-06-30,6.4%,-0.133,16.547,-17.229,16.716
residual_L12_W36_FF3,1967-06-30,6.4%,-0.445,14.045,-15.333,14.176
residual_L12_W48_MKT,1968-06-30,8.0%,-0.185,16.736,-17.524,16.728
residual_L12_W48_FF3,1968-06-30,8.0%,-0.319,14.461,-15.669,14.862
